AccidentUID;AccidentType;AccidentType_de;AccidentType_fr;AccidentType_it;AccidentType_en;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_fr;AccidentSeverityCategory_it;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_fr;RoadType_it;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentMonth_fr;AccidentMonth_it;AccidentMonth_en;AccidentWeekDay;AccidentWeekDay_de;AccidentWeekDay_fr;AccidentWeekDay_it;AccidentWeekDay_en;AccidentHour;AccidentHour_text
C46CE7132FC68610E053DDB9D80A86AA;at4;Einbiegeunfall;accident en s'engageant sur une route;Incidente nell’immettersi in una strada;Accident when turning-into main road;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2746589;1253726;47.4180123686515,9.381327372659177;SG;3203;St. Gallen;2021;5;2021-05;Mai;mai;Maggio;01-05-01;aw401;Montag;lundi;Lunedí;;06;06h-07h
B342CC26B8B6000EE0430A839427000E;at8;Fussgängerunfall;accident impliquant des piétons;Incidente con pedoni;Accident involving pedestrian(s);as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;true;false;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2747542;1255743;47.4359348831496,9.394618357210552;SG;3203;St. Gallen;2011;11;2011-11;November;novembre;Novembre;01-11-01;aw402;Dienstag;mardi;Martedì;01-01-02;17;17h-18h
A2349D026D4D307CE0430A865E33307C;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2740885;1252085;47.40450281961905,9.305245677377805;SG;3203;St. Gallen;2011;4;2011-04;April;avril;Aprile;01-04-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;18;18h-19h
A2459425CD39206EE0430A865E33206E;at3;Abbiegeunfall;accident en quittant une route;Incidente nello svoltare;Accident when turning left or right;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2745567;1252745;47.409418612994855,9.367468984770145;SG;3203;St. Gallen;2011;4;2011-04;April;avril;Aprile;01-04-01;aw406;Samstag;samedi;Sabato;01-01-06;16;16h-17h
C29521327D85875AE053DDB9D80A6399;at5;Überqueren der Fahrbahn;accident en traversant une route;Incidente nell'attraversare la carreggiata;Accident when crossing the lane(s);as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2748345;1255856;47.436770340537144,9.405296979042706;SG;3203;St. Gallen;2021;3;2021-03;März;mars;Marzo;01-03-01;aw401;Montag;lundi;Lunedí;;09;09h-10h
B3A474495C070138E0430A8394270138;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2744850;1254021;47.42104984253706,9.358385830932663;SG;3203;St. Gallen;2011;12;2011-12;Dezember;décembre;Dicembre;01-12-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;17;17h-18h
85024A989F517954E05328B9D80A94BF;at5;Überqueren der Fahrbahn;accident en traversant une route;Incidente nell'attraversare la carreggiata;Accident when crossing the lane(s);as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2740996;1252403;47.40733838803603,9.306816105260928;SG;3203;St. Gallen;2019;2;2019-02;Februar;février;Febbraio;01-02-01;aw401;Montag;lundi;Lunedí;;08;08h-09h
A376404D14676030E0430A865E336030;at8;Fussgängerunfall;accident impliquant des piétons;Incidente con pedoni;Accident involving pedestrian(s);as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;true;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2744327;1253658;47.41790084495517,9.35133975901696;SG;3203;St. Gallen;2011;5;2011-05;Mai;mai;Maggio;01-05-01;aw405;Freitag;vendredi;Venerdì;01-01-05;13;13h-14h
C39F9761425659C2E053DDB9D80AD93E;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt430;Autobahn;autoroute;Autostrada;Motorway;2748814;1256096;47.43882232399463,9.41159209374231;SG;3203;St. Gallen;2021;4;2021-04;April;avril;Aprile;01-04-01;aw401;Montag;lundi;Lunedí;;23;23h-00h
C60AE297036F4D3DE053DDB9D80AF655;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;false;false;true;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2746741;1255170;47.43096198960577,9.383815390252014;SG;3203;St. Gallen;2021;6;2021-06;Juni;juin;Giugno;01-06-01;aw402;Dienstag;mardi;Martedì;01-01-02;16;16h-17h
